,benthic,pelagic,longline,smallMesh,gillnet
spinydog,5.95E-08,5.50E-08,3.78E-06,1.00E-30,1.00E-30
winterskate,3.31E-07,1.00E-30,4.56E-08,1.00E-30,1.00E-30
Aherring,4.64E-08,1.88E-05,1.00E-30,1.00E-30,1.00E-30
Acod,2.10E-06,1.00E-30,2.54E-07,1.00E-30,1.00E-30
haddock,1.34E-06,7.13E-07,1.67E-07,1.00E-30,1.00E-30
yellowtailfl,0.000003,1.00E-30,1.00E-30,1.00E-30,1.00E-30
winterfl,1.96E-06,1.00E-30,1.00E-30,1.00E-30,1.00E-30
Amackerel,1.34E-08,5.42E-06,1.00E-30,1.00E-30,1.00E-30
silverhake,4.40E-06,1.52E-06,1.00E-30,1.00E-30,1.00E-30
goosefish,7.79E-07,1.00E-30,5.14E-07,1.00E-30,1.00E-30
