,benthic,pelagic,longline,smallMesh,gillnet
spinydog,0.25,0.22,0.22,0,0
winterskate,0.25,0.25,0.25,0,0
Aherring,0.25,0.25,1,0,0
Acod,0.25,0.22,0.22,0,0
haddock,0.25,0.25,0.25,0,0
yellowtailfl,0.48,1,1,0,0
winterfl,0.57,1,1,0,0
Amackerel,0.25,0.25,1,0,0
silverhake,0.15,0.25,0.25,0.15,0
goosefish,0.25,0.25,0.25,0,0
