,benthic,pelagic,longline,smallMesh,gillnet
spinydog,-12.903,-12.06,-12.06,0,0
winterskate,-10,-10,-10,0,0
Aherring,-4,-4,-200,0,0
Acod,-12.903,-12.06,-12.06,0,0
haddock,-11.677,-10,-10,0,0
yellowtailfl,-15.442,-200,-200,0,0
winterfl,-13.894,-200,-200,0,0
Amackerel,-5,-5,-200,0,0
silverhake,-8,-8,-8,0,0
goosefish,-12,-12,-12,0,0
