species,B0
spinydog,334929
winterskate,559616.53
Aherring,3367352.5
Acod,324330.75
haddock,443626.98
yellowtailfl,215014.95
winterfl,111073.85
Amackerel,781926.53
silverhake,58469.09
goosefish,43888.76
