,benthic,pelagic,longline,smallMesh,gillnet
spinydog,1,1,1,1,1
winterskate,1,0,1,1,1
Aherring,1,1,0,1,1
Acod,1,0,1,1,1
haddock,1,1,1,1,1
yellowtailfl,1,0,0,1,1
winterfl,1,0,0,1,1
Amackerel,1,1,0,1,1
silverhake,1,1,0,1,1
goosefish,1,0,1,1,1
